year,data_mean_global,data_mean_nh,data_mean_sh
2153,347.650008452229,347.180492969016,348.119523935442
2154,347.23400821688,346.777178898568,347.690837535193
2155,346.835007981116,346.390885048728,347.279130913504
2156,346.453007746029,346.021558340402,346.884457151656
2157,346.088007510338,345.669261963008,346.506753057669
2158,345.741007275243,345.334935254674,346.147079295813
2159,345.40900703948,345.015643932463,345.802370146497
2160,345.094006803843,344.713345027494,345.474668580191
2161,344.795006568333,344.427038539769,345.162974596896
2162,344.513006333246,344.157709303815,344.868303362677
2163,344.24600609755,343.903415454043,344.588596741056
2164,343.994005862228,343.664098855994,344.323912868461
2165,343.758005626953,343.440782257992,344.075228995914
2166,343.538005391129,343.233490935721,343.842519846537
2167,343.332005155778,343.040179392899,343.623830918658
2168,343.142004920018,342.862885543063,343.421124296973
2169,342.966004684941,342.699556307119,343.232453062763
2170,342.805004449486,342.551249819448,343.058759079523
2171,342.659004213851,342.417950914482,342.90005751322
2172,342.52800397807,342.299662119882,342.756345836258
2173,342.410003742718,342.194348049431,342.625659436005
2174,342.30700350723,342.104039034099,342.50996798036
2175,342.219003272179,342.028709798182,342.409296746177
2176,342.144003036414,341.966418475969,342.321587596859
2177,342.083002800822,341.918117043418,342.247888558227
2178,342.036002565473,341.883802972969,342.188202157977
2179,342.003002329641,341.863514178318,342.142490480964
2180,341.984002094079,341.857210218169,342.11079396999
2181,341.978001859119,341.863875927085,342.092127791153
2182,341.986001623889,341.8845568015,342.087446446278
2183,342.007001388028,341.918270534447,342.095732241608
2184,342.041001152189,341.964981739789,342.117020564588
2185,342.08900091706,342.025655031421,342.152346802699
2186,342.151000681374,342.100358654032,342.201642708717
2187,342.225000446288,342.187031945706,342.26296894687
2188,342.313000210639,342.287735568354,342.338264852924
2189,342.41299997548,342.400408859956,342.425591091005
2190,342.526999769175,342.525530216823,342.528469321526
2191,342.652999739668,342.653120065324,342.652879414012
2192,342.778999739685,342.779120065341,342.778879414028
2193,342.889999739659,342.890120065315,342.889879414003
2194,342.989999739695,342.990120065351,342.989879414038
2195,343.079999739663,343.080120065319,343.079879414007
2196,343.15999973968,343.160120065336,343.159879414023
2197,343.231999739696,343.232120065353,343.23187941404
2198,343.296999739692,343.297120065349,343.296879414036
2199,343.354999739652,343.355120065308,343.354879413995
2200,343.406999739678,343.407120065335,343.406879414022
2201,343.452999739678,343.453120065334,343.452879414021
2202,343.494999739678,343.495120065334,343.494879414022
2203,343.531999739678,343.532120065334,343.531879414022
2204,343.564999739678,343.565120065335,343.564879414022
2205,343.593999739678,343.594120065334,343.593879414021
2206,343.618999739679,343.619120065335,343.618879414022
2207,343.640999739678,343.641120065334,343.640879414022
2208,343.659999739678,343.660120065335,343.659879414022
2209,343.676999739678,343.677120065335,343.676879414022
2210,343.689999739678,343.690120065335,343.689879414022
2211,343.701999739678,343.702120065334,343.701879414021
2212,343.709999739678,343.710120065335,343.709879414022
2213,343.716999739679,343.717120065335,343.716879414022
2214,343.721999739679,343.722120065335,343.721879414022
2215,343.723999739678,343.724120065335,343.723879414022
2216,343.724999739678,343.725120065334,343.724879414022
2217,343.724999739678,343.725120065334,343.724879414022
2218,343.722999739679,343.723120065335,343.722879414022
2219,343.719999739679,343.720120065335,343.719879414023
2220,343.715999739678,343.716120065335,343.715879414022
2221,343.710999739678,343.711120065334,343.710879414022
2222,343.704999739678,343.705120065334,343.704879414022
2223,343.698999739678,343.699120065334,343.698879414022
2224,343.690999739678,343.691120065334,343.690879414022
2225,343.682999739678,343.683120065335,343.682879414022
2226,343.673999739678,343.674120065334,343.673879414021
2227,343.663999739678,343.664120065334,343.663879414021
2228,343.653999739678,343.654120065334,343.653879414022
2229,343.642999739678,343.643120065335,343.642879414022
2230,343.630999739679,343.631120065335,343.630879414023
2231,343.618999739679,343.619120065335,343.618879414023
2232,343.606999739678,343.607120065334,343.606879414022
2233,343.593999739679,343.594120065335,343.593879414023
2234,343.579999739678,343.580120065334,343.579879414022
2235,343.565999739678,343.566120065335,343.565879414022
2236,343.550999739678,343.551120065334,343.550879414022
2237,343.535999739679,343.536120065335,343.535879414022
2238,343.520999739678,343.521120065335,343.520879414022
2239,343.504999739678,343.505120065334,343.504879414022
2240,343.488999739678,343.489120065334,343.488879414022
2241,343.472999739678,343.473120065335,343.472879414022
2242,343.455999739678,343.456120065335,343.455879414022
2243,343.438999739678,343.439120065334,343.438879414022
2244,343.421999739679,343.422120065335,343.421879414022
2245,343.403999739678,343.404120065334,343.403879414022
2246,343.385999739678,343.386120065334,343.385879414022
2247,343.367999739678,343.368120065335,343.367879414022
2248,343.348999739678,343.349120065335,343.348879414022
2249,343.330999739678,343.331120065334,343.330879414021
2250,343.311999739678,343.312120065334,343.311879414021
2251,343.292999739678,343.293120065335,343.292879414022
2252,343.272999739678,343.273120065335,343.272879414022
2253,343.252999739678,343.253120065334,343.252879414022
2254,343.232999739678,343.233120065334,343.232879414022
2255,343.211999739679,343.212120065335,343.211879414022
2256,343.190999739678,343.191120065335,343.190879414022
