Time (year),co2 (ppm)
2014.5,813.5701904296875
2015.5,812.9866333007812
2016.5,812.3961791992188
2017.5,811.8095703125
2018.5,811.2224731445312
2019.5,810.6277465820312
2020.5,810.0397338867188
2021.5,809.452880859375
2022.5,808.857177734375
2023.5,808.251220703125
2024.5,807.649169921875
2025.5,807.0443725585938
2026.5,806.4450073242188
2027.5,805.8452758789062
2028.5,805.2372436523438
2029.5,804.6318359375
2030.5,804.0286865234375
2031.5,803.4203491210938
2032.5,802.8209838867188
2033.5,802.2247924804688
2034.5,801.6216430664062
2035.5,801.0159301757812
2036.5,800.4066772460938
2037.5,799.8038330078125
2038.5,799.2092895507812
2039.5,798.6224975585938
2040.5,798.0341186523438
2041.5,797.4583129882812
2042.5,796.8904418945312
2043.5,796.3197021484375
2044.5,795.7564086914062
2045.5,795.1953735351562
2046.5,794.6414184570312
2047.5,794.09375
2048.5,793.561279296875
2049.5,793.03759765625
2050.5,792.518310546875
2051.5,792.0
2052.5,791.4786987304688
2053.5,790.9738159179688
2054.5,790.467041015625
2055.5,789.96875
2056.5,789.483154296875
2057.5,789.0105590820312
2058.5,788.5420532226562
2059.5,788.0656127929688
2060.5,787.5989379882812
2061.5,787.147705078125
2062.5,786.701416015625
2063.5,786.2569580078125
2064.5,785.8128662109375
2065.5,785.3653564453125
2066.5,784.9237670898438
2067.5,784.4886474609375
2068.5,784.0662231445312
2069.5,783.6397094726562
2070.5,783.2133178710938
2071.5,782.7916259765625
2072.5,782.37158203125
2073.5,781.9635009765625
2074.5,781.5492553710938
2075.5,781.1386108398438
2076.5,780.73095703125
2077.5,780.3250122070312
2078.5,779.9163208007812
2079.5,779.5047607421875
2080.5,779.1067504882812
2081.5,778.7124633789062
2082.5,778.318359375
2083.5,777.9171142578125
2084.5,777.5187377929688
2085.5,777.1312255859375
2086.5,776.76025390625
2087.5,776.3878173828125
2088.5,776.017578125
2089.5,775.6504516601562
2090.5,775.279052734375
2091.5,774.907470703125
2092.5,774.53759765625
2093.5,774.1627807617188
2094.5,773.79248046875
2095.5,773.4207763671875
2096.5,773.041748046875
2097.5,772.6655883789062
2098.5,772.2955932617188
2099.5,771.9260864257812
2100.5,771.55517578125
2101.5,771.1724243164062
2102.5,770.8054809570312
2103.5,770.4500122070312
2104.5,770.1011352539062
2105.5,769.7529907226562
2106.5,769.4052124023438
2107.5,769.0479125976562
2108.5,768.696533203125
2109.5,768.3489379882812
2110.5,768.0031127929688
2111.5,767.6505126953125
2112.5,767.3065795898438
2113.5,766.9594116210938
2114.5,766.621337890625
2115.5,766.2793579101562
2116.5,765.93115234375
2117.5,765.5902709960938
2118.5,765.2484741210938
2119.5,764.9027099609375
2120.5,764.5625
2121.5,764.2225341796875
2122.5,763.8875732421875
2123.5,763.5523071289062
2124.5,763.2172241210938
2125.5,762.8853149414062
2126.5,762.5521850585938
2127.5,762.2289428710938
2128.5,761.90966796875
2129.5,761.5960693359375
2130.5,761.2935180664062
2131.5,760.97998046875
2132.5,760.666259765625
2133.5,760.3616333007812
2134.5,760.057861328125
2135.5,759.7549438476562
2136.5,759.4550170898438
2137.5,759.1469116210938
2138.5,758.8428955078125
2139.5,758.5476684570312
2140.5,758.2548828125
2141.5,757.9534301757812
2142.5,757.6576538085938
2143.5,757.37060546875
2144.5,757.0767211914062
2145.5,756.7771606445312
2146.5,756.4879760742188
2147.5,756.1958618164062
2148.5,755.8994140625
2149.5,755.604248046875
2150.5,755.3187866210938
2151.5,755.0374145507812
2152.5,754.754150390625
2153.5,754.4639892578125
2154.5,754.1771240234375
2155.5,753.8945922851562
2156.5,753.6209106445312
2157.5,753.3422241210938
2158.5,753.060302734375
2159.5,752.7801513671875
2160.5,752.4940185546875
2161.5,752.2163696289062
2162.5,751.9434814453125
2163.5,751.666015625
2164.5,751.3843994140625
2165.5,751.1027221679688
2166.5,750.82080078125
2167.5,750.5369873046875
2168.5,750.2529296875
2169.5,749.9700317382812
2170.5,749.6959228515625
2171.5,749.4232788085938
2172.5,749.1475830078125
2173.5,748.8690185546875
2174.5,748.5960693359375
2175.5,748.3142700195312
2176.5,748.0429077148438
2177.5,747.7698974609375
2178.5,747.4994506835938
2179.5,747.2318725585938
2180.5,746.9588623046875
2181.5,746.6874389648438
2182.5,746.419189453125
2183.5,746.15478515625
2184.5,745.8845825195312
2185.5,745.61376953125
2186.5,745.3529052734375
2187.5,745.094970703125
2188.5,744.8289794921875
2189.5,744.568603515625
2190.5,744.3017578125
2191.5,744.032958984375
2192.5,743.7713012695312
2193.5,743.5067749023438
2194.5,743.24365234375
2195.5,742.9649047851562
2196.5,742.6917724609375
2197.5,742.4188232421875
2198.5,742.1450805664062
2199.5,741.883056640625
2200.5,741.6051025390625
2201.5,741.332763671875
2202.5,741.0650024414062
2203.5,740.7910766601562
2204.5,740.5293579101562
2205.5,740.2464599609375
2206.5,739.9688720703125
2207.5,739.7008056640625
2208.5,739.42626953125
2209.5,739.1605224609375
2210.5,738.882080078125
2211.5,738.6022338867188
2212.5,738.33984375
2213.5,738.060791015625
2214.5,737.7926025390625
2215.5,737.5164794921875
2216.5,737.2459716796875
2217.5,736.9779052734375
2218.5,736.7057495117188
2219.5,736.425537109375
2220.5,736.1497192382812
2221.5,735.8739013671875
2222.5,735.58984375
2223.5,735.3206787109375
2224.5,735.050048828125
2225.5,734.7673950195312
2226.5,734.4859619140625
2227.5,734.2083740234375
2228.5,733.9207153320312
2229.5,733.6476440429688
2230.5,733.3683471679688
2231.5,733.080810546875
2232.5,732.8019409179688
2233.5,732.5218505859375
2234.5,732.25146484375
2235.5,731.9638671875
2236.5,731.6820678710938
2237.5,731.4009399414062
2238.5,731.1212158203125
2239.5,730.8340454101562
2240.5,730.55712890625
2241.5,730.264892578125
2242.5,729.9791259765625
2243.5,729.6832275390625
2244.5,729.3981323242188
2245.5,729.1138305664062
2246.5,728.8291015625
2247.5,728.5469970703125
2248.5,728.2650146484375
2249.5,727.98291015625
2250.5,727.6939697265625
2251.5,727.3994750976562
2252.5,727.1223754882812
2253.5,726.8276977539062
2254.5,726.54052734375
2255.5,726.2537231445312
2256.5,725.9615478515625
2257.5,725.6715087890625
2258.5,725.3746337890625
2259.5,725.0831298828125
2260.5,724.8023071289062
2261.5,724.510009765625
2262.5,724.2240600585938
2263.5,723.9181518554688
2264.5,723.6185913085938
2265.5,723.318115234375
2266.5,723.0249633789062
2267.5,722.7303466796875
2268.5,722.4241943359375
2269.5,722.1264038085938
2270.5,721.8369750976562
2271.5,721.5460815429688
2272.5,721.2704467773438
2273.5,720.9676513671875
