Time (year),dissicos (mol m-3)
1850.5,2.0241904258728027
1851.5,2.0240399837493896
1852.5,2.0240020751953125
1853.5,2.0240254402160645
1854.5,2.0240824222564697
1855.5,2.0241894721984863
1856.5,2.0243377685546875
1857.5,2.0245094299316406
1858.5,2.0247247219085693
1859.5,2.0249645709991455
1860.5,2.025270462036133
1861.5,2.025607109069824
1862.5,2.0260138511657715
1863.5,2.0264904499053955
1864.5,2.0270237922668457
1865.5,2.0276293754577637
1866.5,2.0283329486846924
1867.5,2.0291309356689453
1868.5,2.0300419330596924
1869.5,2.0310425758361816
1870.5,2.032179355621338
1871.5,2.033461093902588
1872.5,2.0348854064941406
1873.5,2.0364553928375244
1874.5,2.0382070541381836
1875.5,2.040116786956787
1876.5,2.0422143936157227
1877.5,2.0444986820220947
1878.5,2.04697322845459
1879.5,2.0496490001678467
1880.5,2.0525362491607666
1881.5,2.0556297302246094
1882.5,2.0589182376861572
1883.5,2.0624165534973145
1884.5,2.066070318222046
1885.5,2.0699100494384766
1886.5,2.073939085006714
1887.5,2.078110694885254
1888.5,2.082442045211792
1889.5,2.0869038105010986
1890.5,2.091463327407837
1891.5,2.0961036682128906
1892.5,2.100799083709717
1893.5,2.105539560317993
1894.5,2.110276460647583
1895.5,2.1150052547454834
1896.5,2.1197104454040527
1897.5,2.124338388442993
1898.5,2.128894805908203
1899.5,2.1333162784576416
1900.5,2.137648582458496
1901.5,2.1418654918670654
1902.5,2.145902633666992
1903.5,2.1497867107391357
1904.5,2.153482675552368
1905.5,2.1570355892181396
1906.5,2.1603827476501465
1907.5,2.1635849475860596
1908.5,2.1666183471679688
1909.5,2.1694815158843994
1910.5,2.172147035598755
1911.5,2.1746280193328857
1912.5,2.1769402027130127
1913.5,2.179072856903076
1914.5,2.181037425994873
1915.5,2.1828293800354004
1916.5,2.184469223022461
1917.5,2.18595814704895
1918.5,2.187282085418701
1919.5,2.1884725093841553
1920.5,2.1895201206207275
1921.5,2.190443992614746
1922.5,2.1912453174591064
1923.5,2.1919326782226562
1924.5,2.1925177574157715
1925.5,2.193002700805664
1926.5,2.1934030055999756
1927.5,2.193721294403076
1928.5,2.1939644813537598
1929.5,2.194136142730713
1930.5,2.194246292114258
1931.5,2.194301128387451
1932.5,2.1943085193634033
1933.5,2.194272041320801
1934.5,2.194195032119751
1935.5,2.19408917427063
1936.5,2.1939537525177
1937.5,2.1937944889068604
1938.5,2.1936092376708984
1939.5,2.1934070587158203
1940.5,2.193185329437256
1941.5,2.192953586578369
1942.5,2.192711114883423
1943.5,2.1924588680267334
1944.5,2.192202091217041
1945.5,2.1919338703155518
1946.5,2.191669464111328
1947.5,2.1914000511169434
1948.5,2.191131114959717
1949.5,2.1908657550811768
1950.5,2.1905934810638428
1951.5,2.190312147140503
1952.5,2.190034866333008
1953.5,2.189760684967041
1954.5,2.1894938945770264
1955.5,2.18923282623291
1956.5,2.188981056213379
1957.5,2.1887309551239014
1958.5,2.188488006591797
1959.5,2.1882457733154297
1960.5,2.1880085468292236
1961.5,2.187776565551758
1962.5,2.1875526905059814
1963.5,2.187331199645996
1964.5,2.1871144771575928
1965.5,2.1868979930877686
1966.5,2.1866860389709473
1967.5,2.1864757537841797
1968.5,2.1862738132476807
1969.5,2.1860718727111816
1970.5,2.1858699321746826
1971.5,2.18567156791687
1972.5,2.1854805946350098
1973.5,2.185290813446045
1974.5,2.185100793838501
1975.5,2.184912919998169
1976.5,2.1847290992736816
1977.5,2.1845455169677734
1978.5,2.1843628883361816
1979.5,2.1841788291931152
1980.5,2.1840012073516846
1981.5,2.183823585510254
1982.5,2.183647871017456
1983.5,2.183471441268921
1984.5,2.1832966804504395
1985.5,2.1831231117248535
1986.5,2.182950258255005
1987.5,2.1827785968780518
1988.5,2.1826059818267822
1989.5,2.1824374198913574
1990.5,2.1822662353515625
1991.5,2.1820967197418213
1992.5,2.181924343109131
1993.5,2.181753635406494
1994.5,2.1815807819366455
1995.5,2.181410074234009
1996.5,2.1812427043914795
1997.5,2.18107008934021
1998.5,2.1809024810791016
1999.5,2.180734634399414
2000.5,2.180563449859619
2001.5,2.1803934574127197
2002.5,2.180222988128662
2003.5,2.180051565170288
2004.5,2.179884195327759
2005.5,2.1797118186950684
2006.5,2.17954158782959
2007.5,2.1793723106384277
2008.5,2.1791999340057373
2009.5,2.1790266036987305
2010.5,2.1788525581359863
2011.5,2.1786794662475586
2012.5,2.178502321243286
2013.5,2.1783246994018555
2014.5,2.1781513690948486
2015.5,2.17797589302063
2016.5,2.1777994632720947
2017.5,2.177621603012085
2018.5,2.17744517326355
2019.5,2.1772680282592773
2020.5,2.177091360092163
2021.5,2.1769137382507324
2022.5,2.1767332553863525
2023.5,2.1765527725219727
2024.5,2.176375150680542
2025.5,2.176192045211792
2026.5,2.1760096549987793
2027.5,2.175832748413086
2028.5,2.1756510734558105
2029.5,2.1754708290100098
2030.5,2.1752922534942627
2031.5,2.1751108169555664
2032.5,2.1749300956726074
2033.5,2.1747474670410156
2034.5,2.1745688915252686
2035.5,2.174389362335205
2036.5,2.174208641052246
2037.5,2.1740245819091797
2038.5,2.1738505363464355
2039.5,2.1736769676208496
2040.5,2.1735012531280518
2041.5,2.1733238697052
2042.5,2.173151969909668
2043.5,2.1729776859283447
2044.5,2.172807455062866
2045.5,2.172633409500122
2046.5,2.172464609146118
2047.5,2.1722936630249023
2048.5,2.1721248626708984
2049.5,2.1719586849212646
2050.5,2.171794891357422
2051.5,2.1716322898864746
2052.5,2.171469211578369
2053.5,2.171306848526001
2054.5,2.1711466312408447
2055.5,2.170992851257324
2056.5,2.170839786529541
2057.5,2.170680284500122
2058.5,2.1705286502838135
2059.5,2.1703739166259766
2060.5,2.1702208518981934
2061.5,2.1700689792633057
2062.5,2.16991925239563
2063.5,2.1697707176208496
2064.5,2.169625997543335
2065.5,2.1694748401641846
2066.5,2.1693315505981445
2067.5,2.169184923171997
2068.5,2.1690423488616943
2069.5,2.168898820877075
2070.5,2.168752670288086
2071.5,2.1686110496520996
2072.5,2.168468952178955
2073.5,2.168325185775757
2074.5,2.168182611465454
2075.5,2.168044328689575
2076.5,2.167903423309326
2077.5,2.167762279510498
2078.5,2.1676201820373535
2079.5,2.167478561401367
2080.5,2.1673390865325928
2081.5,2.1672000885009766
2082.5,2.1670608520507812
2083.5,2.1669206619262695
2084.5,2.166781425476074
2085.5,2.1666431427001953
2086.5,2.166508913040161
2087.5,2.166376829147339
2088.5,2.1662392616271973
2089.5,2.1661057472229004
2090.5,2.1659724712371826
2091.5,2.1658382415771484
2092.5,2.165703535079956
2093.5,2.165564775466919
2094.5,2.165431261062622
2095.5,2.165299654006958
2096.5,2.1651670932769775
2097.5,2.165029525756836
2098.5,2.164897918701172
2099.5,2.1647684574127197
2100.5,2.1646337509155273
2101.5,2.1644954681396484
2102.5,2.164360761642456
2103.5,2.164228916168213
2104.5,2.1640987396240234
2105.5,2.1639652252197266
2106.5,2.1638355255126953
2107.5,2.163702964782715
2108.5,2.16357159614563
2109.5,2.1634395122528076
2110.5,2.163311243057251
2111.5,2.163181781768799
2112.5,2.1630537509918213
2113.5,2.16292142868042
2114.5,2.1627893447875977
2115.5,2.162663221359253
2116.5,2.1625308990478516
2117.5,2.1623997688293457
2118.5,2.1622707843780518
2119.5,2.1621429920196533
2120.5,2.162013053894043
2121.5,2.1618785858154297
2122.5,2.161752223968506
