Time (year),tas (K)
1850.5,286.5649108886719
1851.5,286.5830383300781
1852.5,286.59478759765625
1853.5,286.59967041015625
1854.5,286.6058044433594
1855.5,286.6122741699219
1856.5,286.6171875
1857.5,286.6221008300781
1858.5,286.6271667480469
1859.5,286.6335754394531
1860.5,286.6407775878906
1861.5,286.6488952636719
1862.5,286.6560974121094
1863.5,286.6627502441406
1864.5,286.67327880859375
1865.5,286.68463134765625
1866.5,286.69384765625
1867.5,286.70501708984375
1868.5,286.7135314941406
1869.5,286.72772216796875
1870.5,286.74249267578125
1871.5,286.75726318359375
1872.5,286.777099609375
1873.5,286.79791259765625
1874.5,286.82037353515625
1875.5,286.8460388183594
1876.5,286.87371826171875
1877.5,286.9073791503906
1878.5,286.9424743652344
1879.5,286.9803466796875
1880.5,287.0248718261719
1881.5,287.0740051269531
1882.5,287.1207275390625
1883.5,287.16986083984375
1884.5,287.2188415527344
1885.5,287.27020263671875
1886.5,287.3247375488281
1887.5,287.3807373046875
1888.5,287.4412841796875
1889.5,287.5030517578125
1890.5,287.5695495605469
1891.5,287.6372375488281
1892.5,287.7080383300781
1893.5,287.78076171875
1894.5,287.85455322265625
1895.5,287.9266052246094
1896.5,288.0023193359375
1897.5,288.08074951171875
1898.5,288.1573181152344
1899.5,288.2347717285156
1900.5,288.31378173828125
1901.5,288.3929138183594
1902.5,288.4703369140625
1903.5,288.547607421875
1904.5,288.6262512207031
1905.5,288.70233154296875
1906.5,288.77935791015625
1907.5,288.8548889160156
1908.5,288.9298400878906
1909.5,289.0025939941406
1910.5,289.0732421875
1911.5,289.1412353515625
1912.5,289.2088623046875
1913.5,289.2744140625
1914.5,289.3366394042969
1915.5,289.3974609375
1916.5,289.4559326171875
1917.5,289.5110778808594
1918.5,289.5627746582031
1919.5,289.6112365722656
1920.5,289.65386962890625
1921.5,289.6946716308594
1922.5,289.7319641113281
1923.5,289.76788330078125
1924.5,289.8004150390625
1925.5,289.830078125
1926.5,289.8575439453125
1927.5,289.88470458984375
1928.5,289.90966796875
1929.5,289.9330749511719
1930.5,289.955810546875
1931.5,289.9765625
1932.5,289.9959411621094
1933.5,290.0142822265625
1934.5,290.0307312011719
1935.5,290.04644775390625
1936.5,290.06109619140625
1937.5,290.0728759765625
1938.5,290.08551025390625
1939.5,290.0966796875
1940.5,290.10699462890625
1941.5,290.11669921875
1942.5,290.1250915527344
1943.5,290.13323974609375
1944.5,290.1410827636719
1945.5,290.1475524902344
1946.5,290.1546630859375
1947.5,290.16064453125
1948.5,290.1658935546875
1949.5,290.1709289550781
1950.5,290.1749572753906
1951.5,290.1796569824219
1952.5,290.18463134765625
1953.5,290.1877746582031
1954.5,290.1914978027344
1955.5,290.19427490234375
1956.5,290.19744873046875
1957.5,290.2001037597656
1958.5,290.2025146484375
1959.5,290.205322265625
1960.5,290.20831298828125
1961.5,290.2120666503906
1962.5,290.21490478515625
1963.5,290.2178649902344
1964.5,290.2203369140625
1965.5,290.2242126464844
1966.5,290.2275390625
1967.5,290.231689453125
1968.5,290.2349853515625
1969.5,290.2379150390625
1970.5,290.240234375
1971.5,290.2438049316406
1972.5,290.24627685546875
1973.5,290.2490234375
1974.5,290.2519226074219
1975.5,290.2549743652344
1976.5,290.25872802734375
1977.5,290.2624206542969
1978.5,290.2653503417969
1979.5,290.2686767578125
1980.5,290.2719421386719
1981.5,290.27532958984375
1982.5,290.2783508300781
1983.5,290.28155517578125
1984.5,290.28564453125
1985.5,290.2881164550781
1986.5,290.2911376953125
1987.5,290.294921875
1988.5,290.29742431640625
1989.5,290.301513671875
1990.5,290.3043518066406
1991.5,290.3076171875
1992.5,290.3106994628906
1993.5,290.3138732910156
1994.5,290.3175354003906
1995.5,290.32135009765625
1996.5,290.3236999511719
1997.5,290.3277893066406
1998.5,290.3299255371094
1999.5,290.3337707519531
2000.5,290.3360290527344
2001.5,290.33966064453125
2002.5,290.34332275390625
2003.5,290.3467712402344
2004.5,290.35089111328125
2005.5,290.35491943359375
2006.5,290.357666015625
2007.5,290.36138916015625
2008.5,290.36468505859375
2009.5,290.36865234375
2010.5,290.3726501464844
2011.5,290.37518310546875
2012.5,290.3772277832031
2013.5,290.3804931640625
2014.5,290.38360595703125
2015.5,290.3868408203125
2016.5,290.3897705078125
2017.5,290.3924560546875
2018.5,290.3952941894531
2019.5,290.39825439453125
2020.5,290.401611328125
2021.5,290.4042663574219
2022.5,290.4076843261719
2023.5,290.4095153808594
2024.5,290.41253662109375
2025.5,290.4154052734375
2026.5,290.4179992675781
2027.5,290.4212646484375
2028.5,290.42364501953125
2029.5,290.4262390136719
2030.5,290.4289855957031
2031.5,290.4308776855469
2032.5,290.43426513671875
2033.5,290.4363708496094
2034.5,290.43914794921875
2035.5,290.44189453125
2036.5,290.4432067871094
2037.5,290.4466552734375
2038.5,290.44854736328125
2039.5,290.45037841796875
2040.5,290.4530029296875
2041.5,290.4555969238281
2042.5,290.4574279785156
2043.5,290.4596862792969
2044.5,290.4615173339844
2045.5,290.4647216796875
2046.5,290.4673156738281
2047.5,290.4694519042969
2048.5,290.4717102050781
2049.5,290.474365234375
2050.5,290.47589111328125
2051.5,290.47735595703125
2052.5,290.4798278808594
2053.5,290.48126220703125
2054.5,290.48388671875
2055.5,290.4859924316406
2056.5,290.4881896972656
