Time (year),co2 (ppm)
1850.5,285.1083984375
1851.5,285.3499755859375
1852.5,285.61529541015625
1853.5,285.89093017578125
1854.5,286.18994140625
1855.5,286.495849609375
1856.5,286.82281494140625
1857.5,287.1683654785156
1858.5,287.561279296875
1859.5,287.9808654785156
1860.5,288.44482421875
1861.5,288.9613037109375
1862.5,289.5550231933594
1863.5,290.1923522949219
1864.5,290.91168212890625
1865.5,291.7285461425781
1866.5,292.64892578125
1867.5,293.6655578613281
1868.5,294.8204345703125
1869.5,296.0931396484375
1870.5,297.5318298339844
1871.5,299.1290283203125
1872.5,300.9075927734375
1873.5,302.8573303222656
1874.5,305.0239562988281
1875.5,307.3821716308594
1876.5,309.97271728515625
1877.5,312.7898254394531
1878.5,315.8365478515625
1879.5,319.1326904296875
1880.5,322.6951599121094
1881.5,326.5019836425781
1882.5,330.5777282714844
1883.5,334.9183654785156
1884.5,339.52044677734375
1885.5,344.3775939941406
1886.5,349.51287841796875
1887.5,354.89556884765625
1888.5,360.5276794433594
1889.5,366.37841796875
1890.5,372.4394226074219
1891.5,378.681884765625
1892.5,385.0918884277344
1893.5,391.63775634765625
1894.5,398.31536865234375
1895.5,405.0931701660156
1896.5,411.942626953125
1897.5,418.83892822265625
1898.5,425.7708435058594
1899.5,432.6933288574219
1900.5,439.5791931152344
1901.5,446.3871765136719
1902.5,453.0842590332031
1903.5,459.6251220703125
1904.5,466.0029296875
1905.5,472.17840576171875
1906.5,478.1363830566406
1907.5,483.84173583984375
1908.5,489.282470703125
1909.5,494.4303283691406
1910.5,499.2856140136719
1911.5,503.82342529296875
1912.5,508.04144287109375
1913.5,511.93341064453125
1914.5,515.5006103515625
1915.5,518.7409057617188
1916.5,521.6679077148438
1917.5,524.27294921875
1918.5,526.5636596679688
1919.5,528.5426025390625
1920.5,530.2373657226562
1921.5,531.6485595703125
1922.5,532.8069458007812
1923.5,533.7176513671875
1924.5,534.3888549804688
1925.5,534.8421020507812
1926.5,535.1069946289062
1927.5,535.18896484375
1928.5,535.1141357421875
1929.5,534.8992309570312
1930.5,534.546875
1931.5,534.0848388671875
1932.5,533.5164794921875
1933.5,532.8641967773438
1934.5,532.137451171875
1935.5,531.3356323242188
1936.5,530.47998046875
1937.5,529.5795288085938
1938.5,528.6473999023438
1939.5,527.69775390625
1940.5,526.7369995117188
1941.5,525.766845703125
1942.5,524.7926635742188
1943.5,523.826416015625
1944.5,522.8568115234375
1945.5,521.9047241210938
1946.5,520.9708862304688
1947.5,520.0545654296875
1948.5,519.1463623046875
1949.5,518.2669677734375
1950.5,517.3749389648438
1951.5,516.4721069335938
1952.5,515.5989990234375
1953.5,514.7637329101562
1954.5,513.9530639648438
1955.5,513.186767578125
1956.5,512.4619750976562
1957.5,511.7569885253906
1958.5,511.0732116699219
1959.5,510.4194641113281
1960.5,509.7843017578125
1961.5,509.1761779785156
1962.5,508.57830810546875
1963.5,507.9994201660156
1964.5,507.4309387207031
1965.5,506.8787536621094
1966.5,506.335205078125
1967.5,505.8054504394531
1968.5,505.2966613769531
1969.5,504.7918701171875
1970.5,504.3092956542969
1971.5,503.8246154785156
1972.5,503.35467529296875
1973.5,502.8900146484375
1974.5,502.44512939453125
1975.5,501.9984130859375
1976.5,501.5728454589844
1977.5,501.1459655761719
1978.5,500.7125244140625
1979.5,500.2947692871094
1980.5,499.8849792480469
1981.5,499.4911804199219
1982.5,499.0970153808594
1983.5,498.7123718261719
1984.5,498.3321228027344
1985.5,497.9519348144531
1986.5,497.5808410644531
1987.5,497.2167663574219
1988.5,496.84893798828125
1989.5,496.4841613769531
1990.5,496.11810302734375
1991.5,495.7583923339844
1992.5,495.3954772949219
1993.5,495.03814697265625
1994.5,494.68597412109375
1995.5,494.3472900390625
1996.5,493.99658203125
1997.5,493.6559753417969
1998.5,493.3145751953125
1999.5,492.98468017578125
2000.5,492.65460205078125
2001.5,492.3305969238281
2002.5,492.00152587890625
2003.5,491.69049072265625
2004.5,491.3753967285156
2005.5,491.0649108886719
2006.5,490.76409912109375
2007.5,490.4557189941406
2008.5,490.1524658203125
2009.5,489.84375
2010.5,489.5567321777344
2011.5,489.2712097167969
2012.5,488.9853515625
2013.5,488.70037841796875
2014.5,488.4241027832031
2015.5,488.14068603515625
2016.5,487.8721008300781
2017.5,487.5978698730469
2018.5,487.3308410644531
2019.5,487.0572509765625
2020.5,486.79266357421875
2021.5,486.51495361328125
2022.5,486.2408752441406
2023.5,485.97259521484375
2024.5,485.7110290527344
2025.5,485.4483947753906
2026.5,485.18450927734375
2027.5,484.9321594238281
2028.5,484.6786193847656
2029.5,484.4258728027344
2030.5,484.17010498046875
2031.5,483.9220275878906
2032.5,483.6528625488281
2033.5,483.38958740234375
2034.5,483.1308288574219
2035.5,482.8826599121094
2036.5,482.6255798339844
2037.5,482.37164306640625
2038.5,482.11553955078125
2039.5,481.8660583496094
2040.5,481.6165771484375
2041.5,481.373779296875
2042.5,481.121337890625
2043.5,480.87481689453125
2044.5,480.6287536621094
2045.5,480.39111328125
2046.5,480.1326904296875
2047.5,479.8843688964844
2048.5,479.6307678222656
2049.5,479.3940124511719
2050.5,479.1492004394531
2051.5,478.89697265625
2052.5,478.6399230957031
2053.5,478.3928527832031
2054.5,478.14202880859375
2055.5,477.89947509765625
2056.5,477.64166259765625
2057.5,477.3898010253906
2058.5,477.14263916015625
2059.5,476.9040832519531
2060.5,476.66552734375
2061.5,476.4290466308594
2062.5,476.1820983886719
2063.5,475.93621826171875
2064.5,475.6913146972656
2065.5,475.4635009765625
2066.5,475.21917724609375
2067.5,474.98370361328125
2068.5,474.7455139160156
2069.5,474.51373291015625
2070.5,474.27923583984375
2071.5,474.04766845703125
2072.5,473.8104553222656
2073.5,473.5923767089844
2074.5,473.35955810546875
2075.5,473.1302490234375
2076.5,472.8915100097656
2077.5,472.6696472167969
2078.5,472.449951171875
2079.5,472.22967529296875
2080.5,472.00994873046875
2081.5,471.7761535644531
2082.5,471.5462341308594
2083.5,471.3302917480469
2084.5,471.1043395996094
2085.5,470.8824157714844
2086.5,470.6517639160156
2087.5,470.4287109375
2088.5,470.2142333984375
2089.5,470.0074768066406
2090.5,469.7944641113281
2091.5,469.5836486816406
2092.5,469.36883544921875
2093.5,469.15777587890625
2094.5,468.93603515625
2095.5,468.7395935058594
2096.5,468.54400634765625
2097.5,468.3484802246094
2098.5,468.1459655761719
2099.5,467.94024658203125
2100.5,467.735107421875
2101.5,467.5508117675781
2102.5,467.3521728515625
2103.5,467.16424560546875
2104.5,466.9648742675781
2105.5,466.7709045410156
2106.5,466.5718994140625
2107.5,466.3893737792969
2108.5,466.19696044921875
2109.5,466.019287109375
2110.5,465.8378601074219
2111.5,465.6565856933594
2112.5,465.4679870605469
2113.5,465.294677734375
2114.5,465.12286376953125
2115.5,464.9579772949219
2116.5,464.7913818359375
2117.5,464.61688232421875
2118.5,464.4494323730469
2119.5,464.27734375
2120.5,464.119140625
2121.5,463.959716796875
2122.5,463.81048583984375
2123.5,463.6519470214844
2124.5,463.4939880371094
2125.5,463.3389892578125
2126.5,463.19708251953125
2127.5,463.0429992675781
2128.5,462.8953857421875
2129.5,462.73785400390625
2130.5,462.59234619140625
2131.5,462.4531555175781
2132.5,462.3288269042969
2133.5,462.1988220214844
2134.5,462.065673828125
2135.5,461.9292907714844
2136.5,461.80279541015625
2137.5,461.665283203125
2138.5,461.5361633300781
2139.5,461.40692138671875
2140.5,461.2832336425781
2141.5,461.1569519042969
2142.5,461.04833984375
2143.5,460.9410095214844
2144.5,460.83074951171875
2145.5,460.71685791015625
