1850,287.82
1851,287.69
1852,287.44
1853,287.48
1854,287.54
1855,287.55
1856,287.76
1857,287.75
1858,287.5
1859,287.61
1860,287.55
1861,287.52
1862,287.52
1863,287.56
1864,287.75
1865,287.94
1866,287.84
1867,287.62
1868,287.61
1869,287.68
1870,287.68
1871,287.81
1872,287.67
1873,287.62
1874,287.57
1875,287.7
1876,287.94
1877,287.61
1878,287.81
1879,287.85
1880,287.45
1881,287.47
1882,287.59
1883,287.69
1884,287.79
1885,287.87
1886,287.96
1887,287.98
1888,288.07
1889,288.02
1890,287.98
1891,287.96
1892,288.01
1893,288.08
1894,288
1895,287.99
1896,287.93
1897,288.07
1898,288.09
1899,288.28
1900,288.35
1901,288.21
1902,288.34
1903,288.44
1904,288.68
1905,288.58
1906,288.67
1907,288.88
1908,288.84
1909,288.48
1910,288.33
1911,288.54
1912,288.68
1913,288.82
1914,288.71
1915,288.7
1916,288.8
1917,288.76
1918,288.77
1919,288.53
1920,288.48
1921,288.63
1922,288.87
1923,288.96
1924,288.67
1925,288.63
1926,288.87
1927,288.97
1928,288.71
1929,288.69
1930,288.85
1931,288.97
1932,288.88
1933,288.78
1934,288.76
1935,288.69
1936,288.65
1937,289
1938,289.02
1939,288.54
1940,288.53
1941,288.72
1942,288.71
1943,288.53
1944,288.59
1945,288.98
1946,289.04
1947,288.74
1948,288.64
1949,288.69
1950,288.58
1951,288.44
1952,288.49
1953,288.49
1954,288.62
1955,288.48
1956,288.43
1957,288.63
1958,288.65
1959,288.53
1960,288.55
1961,288.62
1962,288.32
1963,288.48
1964,288.65
1965,288.55
1966,288.48
1967,288.4
1968,288.4
1969,288.56
1970,288.45
1971,288.61
1972,288.76
1973,288.43
1974,288.32
1975,288.51
1976,288.82
1977,288.74
1978,288.46
1979,288.58
1980,288.66
1981,288.58
1982,288.5
1983,288.7
1984,288.48
1985,288.42
1986,288.5
1987,288.69
1988,288.57
1989,288.54
1990,288.64
1991,288.84
1992,288.61
1993,288.55
1994,288.83
1995,288.74
1996,288.64
1997,288.89
1998,288.9
1999,288.49
2000,288.5
2001,288.66
2002,288.53
2003,288.51
2004,288.69
2005,288.83
2006,288.9
2007,288.94
2008,288.69
2009,288.74
2010,288.88
2011,288.64
2012,288.56
2013,288.92
2014,288.88
2015,288.69
2016,288.71
2017,288.63
2018,288.82
2019,288.59
2020,288.69
2021,288.75
2022,288.92
2023,288.78
2024,288.83
2025,288.83
2026,288.51
2027,288.42
2028,288.7
2029,288.97
2030,288.76
2031,288.62
2032,288.71
2033,288.93
2034,288.69
2035,288.77
2036,288.9
2037,288.5
2038,288.45
2039,288.58
2040,288.7
2041,288.61
2042,288.77
2043,288.88
2044,288.77
2045,288.54
2046,288.57
2047,288.51
2048,288.41
2049,288.4
