Time (year),cLand (PgC)
2138.5,3229.308837890625
2139.5,3229.086669921875
2140.5,3228.856201171875
2141.5,3228.63134765625
2142.5,3228.37158203125
2143.5,3228.10791015625
2144.5,3227.8486328125
2145.5,3227.598876953125
2146.5,3227.34375
2147.5,3227.126953125
2148.5,3226.883056640625
2149.5,3226.6435546875
2150.5,3226.410400390625
2151.5,3226.145751953125
2152.5,3225.899658203125
2153.5,3225.648193359375
2154.5,3225.389892578125
2155.5,3225.131103515625
2156.5,3224.89697265625
2157.5,3224.677978515625
2158.5,3224.468994140625
2159.5,3224.234375
2160.5,3224.017578125
2161.5,3223.78515625
2162.5,3223.5615234375
2163.5,3223.31396484375
2164.5,3223.0810546875
2165.5,3222.834228515625
2166.5,3222.6474609375
2167.5,3222.429931640625
2168.5,3222.19580078125
2169.5,3221.978759765625
2170.5,3221.740234375
2171.5,3221.524169921875
2172.5,3221.303955078125
2173.5,3221.067138671875
2174.5,3220.830078125
2175.5,3220.589111328125
2176.5,3220.36474609375
2177.5,3220.11865234375
2178.5,3219.869384765625
2179.5,3219.621826171875
2180.5,3219.37841796875
2181.5,3219.106689453125
2182.5,3218.872314453125
2183.5,3218.6318359375
2184.5,3218.415283203125
2185.5,3218.177978515625
2186.5,3217.968994140625
2187.5,3217.76171875
2188.5,3217.55419921875
2189.5,3217.307861328125
2190.5,3217.092529296875
2191.5,3216.846923828125
2192.5,3216.624755859375
2193.5,3216.39892578125
2194.5,3216.1884765625
2195.5,3215.959228515625
2196.5,3215.7353515625
2197.5,3215.4833984375
2198.5,3215.253662109375
2199.5,3215.00537109375
2200.5,3214.77392578125
2201.5,3214.51904296875
2202.5,3214.302734375
2203.5,3214.046630859375
2204.5,3213.82861328125
2205.5,3213.603515625
2206.5,3213.40380859375
2207.5,3213.182861328125
2208.5,3212.9765625
2209.5,3212.745361328125
2210.5,3212.533203125
2211.5,3212.328125
2212.5,3212.145263671875
2213.5,3211.93701171875
2214.5,3211.734619140625
2215.5,3211.513427734375
2216.5,3211.29931640625
2217.5,3211.062744140625
2218.5,3210.84228515625
2219.5,3210.6416015625
2220.5,3210.467041015625
2221.5,3210.275390625
2222.5,3210.120849609375
2223.5,3209.959228515625
2224.5,3209.796142578125
2225.5,3209.653076171875
2226.5,3209.492431640625
2227.5,3209.3271484375
2228.5,3209.12255859375
2229.5,3208.964111328125
2230.5,3208.77197265625
2231.5,3208.590576171875
2232.5,3208.418212890625
2233.5,3208.237548828125
2234.5,3208.096923828125
2235.5,3207.945068359375
2236.5,3207.80517578125
2237.5,3207.666748046875
2238.5,3207.548828125
2239.5,3207.38916015625
2240.5,3207.255615234375
2241.5,3207.099853515625
2242.5,3206.973388671875
2243.5,3206.822509765625
2244.5,3206.68408203125
2245.5,3206.550537109375
2246.5,3206.40478515625
2247.5,3206.271484375
2248.5,3206.168701171875
2249.5,3206.03857421875
2250.5,3205.9267578125
2251.5,3205.82958984375
2252.5,3205.6865234375
2253.5,3205.560791015625
2254.5,3205.44091796875
2255.5,3205.315673828125
2256.5,3205.220703125
2257.5,3205.101318359375
2258.5,3204.97705078125
2259.5,3204.8271484375
2260.5,3204.71337890625
2261.5,3204.59130859375
2262.5,3204.475830078125
2263.5,3204.343994140625
2264.5,3204.19677734375
2265.5,3204.044921875
2266.5,3203.9013671875
2267.5,3203.774658203125
2268.5,3203.667236328125
2269.5,3203.562255859375
2270.5,3203.424072265625
2271.5,3203.278564453125
2272.5,3203.1044921875
2273.5,3202.9912109375
2274.5,3202.868408203125
2275.5,3202.733642578125
2276.5,3202.592041015625
2277.5,3202.421142578125
2278.5,3202.2470703125
2279.5,3202.085693359375
2280.5,3201.953857421875
2281.5,3201.8310546875
2282.5,3201.68798828125
2283.5,3201.52392578125
2284.5,3201.350830078125
2285.5,3201.178466796875
2286.5,3201.030517578125
2287.5,3200.864501953125
2288.5,3200.736572265625
2289.5,3200.592041015625
2290.5,3200.444580078125
2291.5,3200.29833984375
2292.5,3200.180908203125
2293.5,3200.045654296875
2294.5,3199.934326171875
2295.5,3199.79638671875
2296.5,3199.662109375
2297.5,3199.50927734375
2298.5,3199.346435546875
2299.5,3199.18115234375
2300.5,3199.03466796875
2301.5,3198.887939453125
2302.5,3198.74658203125
2303.5,3198.568359375
2304.5,3198.40576171875
2305.5,3198.225341796875
2306.5,3198.067138671875
2307.5,3197.95947265625
2308.5,3197.845947265625
2309.5,3197.725830078125
2310.5,3197.59619140625
2311.5,3197.48193359375
2312.5,3197.336669921875
2313.5,3197.22216796875
2314.5,3197.10498046875
2315.5,3196.997802734375
2316.5,3196.850830078125
2317.5,3196.683349609375
2318.5,3196.49560546875
2319.5,3196.337890625
2320.5,3196.1806640625
2321.5,3196.068359375
2322.5,3195.988525390625
2323.5,3195.87451171875
2324.5,3195.750244140625
2325.5,3195.6279296875
2326.5,3195.545166015625
2327.5,3195.4404296875
2328.5,3195.3583984375
2329.5,3195.230712890625
2330.5,3195.06396484375
2331.5,3194.905029296875
2332.5,3194.728271484375
2333.5,3194.58154296875
2334.5,3194.423828125
2335.5,3194.311279296875
2336.5,3194.1787109375
2337.5,3194.07958984375
2338.5,3193.962646484375
2339.5,3193.86962890625
2340.5,3193.81494140625
2341.5,3193.7265625
2342.5,3193.65869140625
2343.5,3193.561279296875
2344.5,3193.449462890625
2345.5,3193.326171875
2346.5,3193.23193359375
2347.5,3193.111328125
2348.5,3192.979248046875
2349.5,3192.86474609375
2350.5,3192.756591796875
2351.5,3192.627685546875
2352.5,3192.5546875
2353.5,3192.473388671875
2354.5,3192.409423828125
2355.5,3192.325927734375
2356.5,3192.268310546875
2357.5,3192.182373046875
2358.5,3192.09228515625
2359.5,3191.970947265625
2360.5,3191.847900390625
2361.5,3191.712890625
2362.5,3191.616943359375
2363.5,3191.49658203125
2364.5,3191.3740234375
2365.5,3191.30810546875
2366.5,3191.270263671875
2367.5,3191.202392578125
2368.5,3191.164794921875
2369.5,3191.103759765625
2370.5,3191.052978515625
2371.5,3190.98095703125
2372.5,3190.912841796875
2373.5,3190.820068359375
2374.5,3190.724609375
2375.5,3190.5908203125
2376.5,3190.4599609375
2377.5,3190.339599609375
2378.5,3190.216552734375
2379.5,3190.143310546875
2380.5,3190.074462890625
2381.5,3190.027587890625
2382.5,3189.9638671875
2383.5,3189.880859375
2384.5,3189.84228515625
2385.5,3189.803466796875
2386.5,3189.748779296875
2387.5,3189.68408203125
2388.5,3189.609375
2389.5,3189.468994140625
2390.5,3189.354248046875
2391.5,3189.256591796875
2392.5,3189.208984375
2393.5,3189.164306640625
2394.5,3189.136474609375
2395.5,3189.079833984375
2396.5,3189.04296875
2397.5,3188.999755859375
2398.5,3188.992431640625
2399.5,3188.95947265625
2400.5,3188.923583984375
2401.5,3188.886962890625
2402.5,3188.77978515625
2403.5,3188.697265625
2404.5,3188.629150390625
2405.5,3188.59521484375
2406.5,3188.54443359375
2407.5,3188.482666015625
2408.5,3188.42333984375
2409.5,3188.365966796875
2410.5,3188.270263671875
2411.5,3188.21826171875
2412.5,3188.156005859375
2413.5,3188.12109375
2414.5,3188.0595703125
2415.5,3187.9765625
2416.5,3187.895263671875
2417.5,3187.806396484375
2418.5,3187.75537109375
2419.5,3187.67333984375
2420.5,3187.63720703125
2421.5,3187.5927734375
2422.5,3187.566650390625
2423.5,3187.5302734375
2424.5,3187.50390625
2425.5,3187.458984375
2426.5,3187.435791015625
2427.5,3187.407470703125
2428.5,3187.377197265625
2429.5,3187.300537109375
2430.5,3187.24365234375
2431.5,3187.188232421875
2432.5,3187.16162109375
2433.5,3187.127197265625
2434.5,3187.130859375
2435.5,3187.103271484375
2436.5,3187.052490234375
2437.5,3186.98486328125
2438.5,3186.94775390625
2439.5,3186.895751953125
2440.5,3186.870361328125
2441.5,3186.82373046875
2442.5,3186.78271484375
2443.5,3186.6962890625
2444.5,3186.626953125
2445.5,3186.577880859375
2446.5,3186.5166015625
2447.5,3186.48583984375
2448.5,3186.42919921875
2449.5,3186.399169921875
2450.5,3186.33349609375
2451.5,3186.280517578125
2452.5,3186.213134765625
2453.5,3186.200927734375
2454.5,3186.154052734375
2455.5,3186.089599609375
2456.5,3186.0146484375
2457.5,3185.94189453125
2458.5,3185.890869140625
2459.5,3185.833984375
2460.5,3185.801513671875
2461.5,3185.746826171875
2462.5,3185.71630859375
2463.5,3185.692626953125
2464.5,3185.6923828125
2465.5,3185.676025390625
2466.5,3185.658203125
2467.5,3185.629150390625
2468.5,3185.61083984375
2469.5,3185.615478515625
