Time (year),tos (K)
2260.5,292.4488830566406
2261.5,292.44940185546875
2262.5,292.45013427734375
2263.5,292.4507141113281
2264.5,292.45123291015625
2265.5,292.45086669921875
2266.5,292.4506530761719
2267.5,292.4494934082031
2268.5,292.44891357421875
2269.5,292.4498291015625
2270.5,292.450927734375
2271.5,292.45135498046875
2272.5,292.4505920410156
2273.5,292.4505920410156
2274.5,292.450927734375
2275.5,292.4516906738281
2276.5,292.453125
2277.5,292.4541931152344
2278.5,292.4540710449219
2279.5,292.4532470703125
2280.5,292.4527587890625
2281.5,292.45330810546875
2282.5,292.4545593261719
2283.5,292.4560546875
2284.5,292.4563903808594
2285.5,292.4554748535156
2286.5,292.4555358886719
2287.5,292.454833984375
2288.5,292.45501708984375
2289.5,292.4560852050781
2290.5,292.45623779296875
2291.5,292.4558410644531
2292.5,292.45489501953125
2293.5,292.4540710449219
2294.5,292.4542236328125
2295.5,292.4554748535156
2296.5,292.45745849609375
2297.5,292.4578857421875
2298.5,292.4576416015625
2299.5,292.45733642578125
2300.5,292.45733642578125
2301.5,292.45855712890625
2302.5,292.45965576171875
2303.5,292.461181640625
2304.5,292.46160888671875
2305.5,292.4605407714844
2306.5,292.4593811035156
2307.5,292.45819091796875
2308.5,292.458251953125
2309.5,292.45904541015625
2310.5,292.45977783203125
2311.5,292.4598693847656
2312.5,292.458984375
2313.5,292.4592590332031
2314.5,292.4595947265625
2315.5,292.461181640625
2316.5,292.4633483886719
2317.5,292.4646301269531
2318.5,292.4641418457031
2319.5,292.4635925292969
2320.5,292.4623107910156
2321.5,292.4617614746094
2322.5,292.4617614746094
2323.5,292.46234130859375
2324.5,292.46221923828125
2325.5,292.46173095703125
2326.5,292.46173095703125
2327.5,292.462646484375
2328.5,292.46392822265625
2329.5,292.4657287597656
2330.5,292.46795654296875
2331.5,292.4695739746094
2332.5,292.4690856933594
2333.5,292.4683837890625
2334.5,292.4674072265625
2335.5,292.4674377441406
2336.5,292.468017578125
2337.5,292.467529296875
2338.5,292.466552734375
2339.5,292.46527099609375
2340.5,292.46466064453125
2341.5,292.4648742675781
2342.5,292.4661560058594
2343.5,292.4681091308594
2344.5,292.46990966796875
2345.5,292.47039794921875
2346.5,292.4703369140625
2347.5,292.4697570800781
2348.5,292.46917724609375
2349.5,292.469482421875
2350.5,292.46990966796875
2351.5,292.46929931640625
2352.5,292.4687805175781
2353.5,292.4678039550781
2354.5,292.4670715332031
2355.5,292.46697998046875
2356.5,292.4681701660156
2357.5,292.4696044921875
2358.5,292.4710388183594
2359.5,292.47247314453125
2360.5,292.4731140136719
2361.5,292.4732360839844
2362.5,292.4732666015625
2363.5,292.4726257324219
2364.5,292.4709777832031
2365.5,292.4695129394531
2366.5,292.4688720703125
2367.5,292.4689025878906
2368.5,292.46942138671875
2369.5,292.4694519042969
2370.5,292.4692687988281
2371.5,292.469482421875
2372.5,292.4700622558594
2373.5,292.47161865234375
2374.5,292.473876953125
2375.5,292.475830078125
2376.5,292.47674560546875
2377.5,292.476806640625
2378.5,292.4754943847656
2379.5,292.47418212890625
2380.5,292.47381591796875
2381.5,292.4738464355469
2382.5,292.4729919433594
2383.5,292.47247314453125
2384.5,292.4723205566406
2385.5,292.4726257324219
2386.5,292.474365234375
2387.5,292.4764404296875
2388.5,292.4786682128906
2389.5,292.4799499511719
2390.5,292.4787292480469
2391.5,292.4772033691406
2392.5,292.47607421875
2393.5,292.47540283203125
2394.5,292.4752197265625
2395.5,292.4749755859375
2396.5,292.47442626953125
2397.5,292.4733581542969
2398.5,292.47271728515625
2399.5,292.47344970703125
2400.5,292.4750671386719
2401.5,292.47698974609375
2402.5,292.478271484375
2403.5,292.4782409667969
2404.5,292.47735595703125
2405.5,292.4769592285156
2406.5,292.47705078125
2407.5,292.4783630371094
2408.5,292.4798889160156
2409.5,292.4804992675781
2410.5,292.4796142578125
2411.5,292.4781494140625
2412.5,292.4776611328125
2413.5,292.4786071777344
2414.5,292.4798889160156
2415.5,292.4815673828125
2416.5,292.4825134277344
2417.5,292.4825134277344
2418.5,292.4817199707031
2419.5,292.4806213378906
2420.5,292.4794006347656
2421.5,292.4795837402344
2422.5,292.4797668457031
2423.5,292.4786682128906
2424.5,292.47735595703125
2425.5,292.4762268066406
2426.5,292.4758605957031
2427.5,292.47613525390625
2428.5,292.4774169921875
2429.5,292.4788513183594
2430.5,292.47882080078125
2431.5,292.47833251953125
2432.5,292.47747802734375
2433.5,292.4772644042969
2434.5,292.478271484375
2435.5,292.4793395996094
2436.5,292.48004150390625
2437.5,292.4799499511719
2438.5,292.4795227050781
2439.5,292.4791564941406
2440.5,292.4793395996094
2441.5,292.4806823730469
2442.5,292.48211669921875
2443.5,292.48272705078125
2444.5,292.4824523925781
2445.5,292.48162841796875
2446.5,292.4811706542969
2447.5,292.4811096191406
2448.5,292.4814453125
2449.5,292.48199462890625
2450.5,292.48248291015625
2451.5,292.4826965332031
2452.5,292.4831237792969
2453.5,292.4839172363281
2454.5,292.48529052734375
2455.5,292.4857482910156
2456.5,292.4855041503906
2457.5,292.4854736328125
2458.5,292.4852600097656
2459.5,292.4853210449219
2460.5,292.48443603515625
2461.5,292.48382568359375
2462.5,292.48333740234375
2463.5,292.4827575683594
2464.5,292.4828186035156
2465.5,292.4827575683594
2466.5,292.4819641113281
2467.5,292.4803466796875
2468.5,292.4787292480469
2469.5,292.479248046875
2470.5,292.4801940917969
2471.5,292.4815673828125
2472.5,292.48284912109375
2473.5,292.4833068847656
2474.5,292.4844970703125
2475.5,292.485107421875
2476.5,292.4853515625
2477.5,292.4865417480469
2478.5,292.487548828125
2479.5,292.48785400390625
2480.5,292.48785400390625
