Time (year),dissicos (mol m-3)
1850.5,2.0241856575012207
1851.5,2.024012804031372
1852.5,2.0239369869232178
1853.5,2.02390718460083
1854.5,2.023927688598633
1855.5,2.0239665508270264
1856.5,2.0240211486816406
1857.5,2.0240883827209473
1858.5,2.0242156982421875
1859.5,2.024340867996216
1860.5,2.024495840072632
1861.5,2.0246691703796387
1862.5,2.02488112449646
1863.5,2.025127649307251
1864.5,2.025400400161743
1865.5,2.025705575942993
1866.5,2.026064395904541
1867.5,2.026461601257324
1868.5,2.026921272277832
1869.5,2.027438163757324
1870.5,2.0280213356018066
1871.5,2.028656005859375
1872.5,2.0293848514556885
1873.5,2.0301830768585205
1874.5,2.031076431274414
1875.5,2.032047986984253
1876.5,2.0331194400787354
1877.5,2.0342864990234375
1878.5,2.03555965423584
1879.5,2.0369434356689453
1880.5,2.0384325981140137
1881.5,2.040026903152466
1882.5,2.041745901107788
1883.5,2.0435640811920166
1884.5,2.0454912185668945
1885.5,2.047542095184326
1886.5,2.0496904850006104
1887.5,2.0519442558288574
1888.5,2.054270029067993
1889.5,2.0566773414611816
1890.5,2.059194803237915
1891.5,2.0617659091949463
1892.5,2.0644147396087646
1893.5,2.067115068435669
1894.5,2.069854259490967
1895.5,2.0726215839385986
1896.5,2.0753839015960693
1897.5,2.0781567096710205
1898.5,2.0809075832366943
1899.5,2.0836434364318848
1900.5,2.086343765258789
1901.5,2.0889997482299805
1902.5,2.091603994369507
1903.5,2.0941357612609863
1904.5,2.0965640544891357
1905.5,2.0989139080047607
1906.5,2.101163625717163
1907.5,2.1033074855804443
1908.5,2.105343818664551
1909.5,2.1072661876678467
1910.5,2.1090774536132812
1911.5,2.11076021194458
1912.5,2.1123392581939697
1913.5,2.1137561798095703
1914.5,2.1150875091552734
1915.5,2.1162827014923096
1916.5,2.1173932552337646
1917.5,2.118370532989502
1918.5,2.119241952896118
1919.5,2.1200132369995117
1920.5,2.120666742324829
1921.5,2.1212475299835205
1922.5,2.1217427253723145
1923.5,2.1221389770507812
1924.5,2.122469186782837
1925.5,2.1227223873138428
1926.5,2.1229145526885986
1927.5,2.123044490814209
1928.5,2.123119354248047
1929.5,2.123150587081909
1930.5,2.1231353282928467
1931.5,2.123081922531128
1932.5,2.122980833053589
1933.5,2.1228578090667725
1934.5,2.1226985454559326
1935.5,2.122514486312866
1936.5,2.122309684753418
1937.5,2.1220879554748535
1938.5,2.1218514442443848
1939.5,2.121609926223755
1940.5,2.12134051322937
1941.5,2.121084213256836
1942.5,2.1208083629608154
1943.5,2.1205379962921143
1944.5,2.1202597618103027
1945.5,2.119981527328491
1946.5,2.119717597961426
1947.5,2.1194422245025635
1948.5,2.1191694736480713
1949.5,2.1189041137695312
1950.5,2.118635416030884
1951.5,2.1183595657348633
1952.5,2.1180832386016846
1953.5,2.117830276489258
1954.5,2.117565631866455
1955.5,2.117325782775879
1956.5,2.117083787918091
1957.5,2.116849184036255
1958.5,2.1166162490844727
1959.5,2.1164047718048096
1960.5,2.116184711456299
1961.5,2.115975856781006
1962.5,2.11576771736145
1963.5,2.11557674407959
1964.5,2.1153736114501953
1965.5,2.1151769161224365
1966.5,2.114992380142212
1967.5,2.114802837371826
1968.5,2.1146178245544434
1969.5,2.1144371032714844
1970.5,2.1142566204071045
1971.5,2.1140859127044678
1972.5,2.1139047145843506
1973.5,2.1137378215789795
1974.5,2.1135663986206055
1975.5,2.1133949756622314
