Time (year),tas (K)
2011.5,288.4298400878906
2012.5,288.4324951171875
2013.5,288.4332580566406
2014.5,288.4341125488281
2015.5,288.435546875
2016.5,288.43560791015625
2017.5,288.4378967285156
2018.5,288.43927001953125
2019.5,288.43865966796875
2020.5,288.4407958984375
2021.5,288.4388427734375
2022.5,288.4393005371094
2023.5,288.4396667480469
2024.5,288.441162109375
2025.5,288.4425964355469
2026.5,288.44403076171875
2027.5,288.44561767578125
2028.5,288.4462585449219
2029.5,288.44818115234375
2030.5,288.4474792480469
2031.5,288.4482116699219
2032.5,288.44940185546875
2033.5,288.4501647949219
2034.5,288.4507141113281
2035.5,288.45172119140625
2036.5,288.4524230957031
2037.5,288.45367431640625
2038.5,288.45416259765625
2039.5,288.4547119140625
2040.5,288.456298828125
2041.5,288.45654296875
2042.5,288.4571228027344
2043.5,288.4586486816406
2044.5,288.4598083496094
2045.5,288.4597473144531
2046.5,288.4605712890625
2047.5,288.4609069824219
2048.5,288.4624938964844
2049.5,288.4615783691406
2050.5,288.4631042480469
2051.5,288.4638671875
2052.5,288.4646301269531
2053.5,288.46514892578125
2054.5,288.4649963378906
2055.5,288.4653015136719
2056.5,288.4673156738281
2057.5,288.4671630859375
2058.5,288.46783447265625
2059.5,288.4687194824219
2060.5,288.4688720703125
2061.5,288.4692687988281
2062.5,288.46881103515625
2063.5,288.47064208984375
2064.5,288.4708557128906
2065.5,288.4714660644531
2066.5,288.4721984863281
2067.5,288.4718322753906
2068.5,288.4727783203125
2069.5,288.4732666015625
2070.5,288.4725341796875
2071.5,288.47271728515625
2072.5,288.4742431640625
2073.5,288.4750671386719
2074.5,288.47454833984375
2075.5,288.47625732421875
2076.5,288.47552490234375
2077.5,288.4757080078125
2078.5,288.4768371582031
2079.5,288.4772033691406
2080.5,288.4767150878906
2081.5,288.4775390625
2082.5,288.4769592285156
2083.5,288.47796630859375
2084.5,288.47802734375
2085.5,288.478759765625
2086.5,288.47869873046875
2087.5,288.47845458984375
2088.5,288.479736328125
2089.5,288.4797668457031
2090.5,288.4797058105469
2091.5,288.4806823730469
2092.5,288.4817810058594
2093.5,288.4810485839844
2094.5,288.4809265136719
2095.5,288.4820556640625
2096.5,288.4838562011719
2097.5,288.484619140625
2098.5,288.4842834472656
2099.5,288.484375
2100.5,288.4845275878906
2101.5,288.48419189453125
2102.5,288.4838562011719
2103.5,288.4834899902344
2104.5,288.48480224609375
2105.5,288.4847717285156
2106.5,288.4849853515625
2107.5,288.4844055175781
2108.5,288.4864196777344
2109.5,288.48895263671875
2110.5,288.48858642578125
2111.5,288.489013671875
2112.5,288.4893493652344
2113.5,288.4882507324219
2114.5,288.4887390136719
2115.5,288.4891357421875
2116.5,288.49127197265625
2117.5,288.48931884765625
2118.5,288.48931884765625
2119.5,288.4904479980469
2120.5,288.4924621582031
2121.5,288.49334716796875
2122.5,288.49395751953125
2123.5,288.4927062988281
